entry_id;calculation_id;delta_e
6141;10802;-2.86666
3067;10804;0.000231132
7937;10805;-0.829378
10500;10806;-0.410076
10756;10807;-0.553289
30286;10819;-0.629142
10717;10821;-0.7159
10503;10827;-0.696191
10759;10828;-0.704118
11015;10829;-0.313598
18711;10831;-0.432445
7941;10832;-0.834511
10504;10833;-0.692823
16663;10834;-3.08455
17176;10835;-0.222654
17688;10836;-0.467094
30332;10837;-0.105039
7942;10838;-0.77352
7943;10841;-0.816013
10762;10842;-0.715002
11018;10843;-0.155867
4099;10845;-0.306554
15125;10848;-0.393994
18715;10849;-0.0289291
19483;10850;-0.263582
10764;10852;-0.705887
18460;10853;-0.00440682
20766;10854;-0.82996
17181;10856;-0.830944
5897;10857;-1.6735
14100;10858;-0.222628
17156;10861;-0.173769
20742;10862;1.22335
17183;10863;-0.418495
12304;10865;-0.582303
17440;10867;0.026496
18720;10868;-0.319551
22307;10869;0.317217
10769;10871;-0.368729
28805;10873;-0.270875
16414;10875;-0.00790002
4620;10876;-1.59994
10771;10878;-0.411662
23336;10880;-0.482085
10772;10881;-0.547509
17188;10882;-0.849248
17956;10883;-0.728395
23337;10885;-0.412826
7954;10886;-0.654993
10773;10887;-0.557468
17957;10888;-0.920774
23338;10890;-0.492752
30345;10891;-0.603731
10774;10892;-0.369051
11030;10893;0.0652466
17958;10894;-0.896763
23339;10896;-0.525075
3086;10897;-0.231367
10263;10898;-0.241757
17959;10899;-0.850532
21290;10900;-0.565806
23340;10901;-2.57672
29835;10902;0.0689413
30859;10903;-0.374222
3087;10904;-0.313671
30348;10907;-0.604979
20523;10908;-1.42644
10522;10910;-0.637088
18986;10911;0.256421
10010;10914;-1.40853
10523;10915;-0.468372
17451;10916;-0.376018
28815;10917;-0.28391
17964;10919;-0.484887
30608;10920;-0.122372
20014;10921;-0.876461
27281;10922;-0.323271
18478;10923;-1.38215
18479;10925;-1.3937
25234;10926;-1.57069
30355;10927;0.153942
18480;10928;-1.22827
30868;10929;-0.115443
10273;10930;-0.216104
18481;10931;-1.39033
11298;10934;-2.89331
18482;10935;-1.38749
28822;10937;-0.251104
29590;10938;-0.294608
18483;10941;-1.38268
28824;10943;-0.277619
12582;10944;-1.63375
23958;10945;-0.745708
10534;10947;-0.606367
17975;10949;-0.213401
28827;10950;-0.289944
29083;10951;-0.570406
18489;10954;-0.301131
6948;10955;-0.565167
30366;10956;-0.666822
20542;10960;0.131617
22592;10961;-1.09661
17469;10963;-0.909392
17726;10966;-0.73298
28834;10968;-0.213215
3110;10969;-1.32143
10543;10970;-0.175866
21570;10973;-1.14733
6698;10974;-0.301905
13620;10976;-2.02243
23366;10978;-0.507112
28836;10979;-0.0977769
5162;10980;-0.282393
6699;10981;-0.539608
10289;10982;-0.346569
17985;10983;-0.235194
21316;10984;-0.385348
6700;10986;-0.301331
17986;10987;-0.859316
4908;10988;-1.6489
17732;10992;-0.169053
21319;10994;-1.17539
21575;10995;-0.93805
25255;10996;0.371528
17221;10997;-0.331612
30377;10999;-0.445693
17222;11002;-0.0230916
13114;11004;-1.05798
14657;11005;-1.96283
6450;11006;-0.57927
14658;11007;-1.97047
17224;11008;-0.384792
17480;11009;-0.197949
30380;11010;-0.35358
7476;11012;-0.343927
7990;11013;-0.623603
8503;11014;-0.389527
14659;11015;-1.98325
25260;11017;0.349905
5171;11022;-0.243352
17738;11025;-0.232045
17994;11026;-0.681797
4403;11028;-1.35694
14661;11029;-1.99774
