entry_id;calculation_id;name
13293;10696;NiAgO2
19166;106977;LiBH15C5NO3
2015;10698;HF
30302;10701;NbGa3
10731;10703;GdInAu2
30304;10705;NbGaNi2
19186;107062;NaSbCO2F3
19187;107066;NiH20C8N10
17149;10707;HoInCu2
20992;10708;LiMoO2
30305;10710;NdGa
19198;107118;H8C2NCl
12527;10712;PbS
19710;10713;MnGaNi2
31074;10714;ZrSi
19206;107155;LiBeH8CNOF4
10992;10717;Ca3In
17152;10718;TmInCu2
4843;10720;KCrS2
19219;107205;Tb3Al2
19220;107210;Ho3Al2
17922;10725;SrPb
18690;10726;SmPd
9971;10728;ZrPd
11764;10729;NdRhC2
12276;10730;SmRhC2
10741;10735;HoInAu2
19254;107350;UFe5Sn
13306;10738;BaHgO2
13820;10742;ZrNi2Sb
14849;10743;SrHfN2
1775;10745;ZrCl
13823;10747;NiTe
17162;10748;CuSnRh2
1776;10749;ZrCl
19286;107490;Gd4NiTe2
12540;10751;Gd2CCl
3059;10754;ScCuS2
7919;107589;Ti2PbC
10748;10762;LuInAu2
19212;10763;NaMnTe2
28016;10765;CuAs
28528;10767;BMo
5879;10770;MoF3
18701;10774;GdMg2Ag
21264;10775;OsN
5880;10779;TaF3
6137;10783;NaInO2
11007;10785;Ca3Tl
17679;10787;MnSnPd2
19215;10788;NdMg2Ag
10752;10790;PrInAu2
23317;10791;CdTe
10753;10792;ScInAu2
22805;10794;LiVO2
29045;10795;ZrCd
30325;10796;PrGa
12803;10797;KErTe2
18706;10798;HfAl
21269;10799;MnGaNi2
19411;108000;Co2W4C
6141;10802;RbScO2
19419;108035;Tb2Ni17
3067;10804;I
7937;10805;ScGe
10500;10806;MnAlNi2
10756;10807;TbInAu2
19427;108070;NbCo3
19436;108108;LiH20C8ClO4
19437;108112;LiH20C8BrO4
30286;10819;HoGa
10717;10821;DyInAu2
10503;10827;MnAlPt2
10759;10828;TmInAu2
11015;10829;CeCd3
18711;10831;AlNi3
7941;10832;VB
19492;108321;NaMn7O12
10504;10833;MnAlRh2
16663;10834;NaErO2
17176;10835;ZrZnCu2
17688;10836;MnSnRh2
30332;10837;Pu3Ga
7942;10838;NbB
19510;108401;Fe7S8
7943;10841;TaB
10762;10842;YInAu2
11018;10843;ZrCdCu2
4099;10845;IBr
15125;10848;CrWN2
18715;10849;Pu3Al
19483;10850;LiAg2Sn
10764;10852;YbInAu2
18460;10853;NpIn3
20766;10854;DySi
17181;10856;DyInPd2
5897;10857;YCl
14100;10858;CuI
31270;108603;GdPdPb
17156;10861;CuNi2Sn
30586;108613;PrInNi
20742;10862;PtN
17183;10863;DyIr3
19564;108635;LiAlH16C4N4
12304;10865;SnS
17440;10867;TlHg3
18720;10868;TaAl3
22307;10869;ReN
10769;10871;LiAu3
19586;108729;Sm2Cr2Fe15
28805;10873;DyFeC2
16414;10875;CdCN2
4620;10876;VBr2O
10771;10878;Li2PbAu
23336;10880;SrGaGeH
10772;10881;Li2SbAu
17188;10882;ErInPd2
17956;10883;TbSnPd2
19609;108835;Li2Ti6PbO14
19610;108839;BaLi2Ti6O14
23337;10885;BaGaSiH
19613;108850;TbCo2
7954;10886;FeS
10773;10887;Li2SnAu
17957;10888;TmSnPd2
23338;10890;BaGaGeH
30345;10891;ScGa
19627;108912;Li2Nd2Si3
10774;10892;Li2TlAu
11030;10893;TiCdHg2
17958;10894;YSnPd2
23339;10896;BaGaSnH
3086;10897;TlSbTe2
10263;10898;AlAs
17959;10899;YbSnPd2
21290;10900;TiPd
23340;10901;LuAgO2
29835;10902;Zr3Cu
30859;10903;SmNi
3087;10904;TlBiTe2
30348;10907;SmGa
20523;10908;LaN
10522;10910;ScAlNi2
18986;10911;Sb
10010;10914;InCuO2
19684;109149;K2BeF4
10523;10915;TaAlNi2
19686;109157;Cs2BeF4
17451;10916;DyInAg2
28815;10917;ErFeC2
17964;10919;TaPd3
30608;10920;InSb
19697;109204;SrAl2O4
20014;10921;TmAgTe2
27281;10922;ScInCu2
18478;10923;NdTlSe2
18479;10925;GdTlSe2
25234;10926;Sr2NCl
30355;10927;Ti3Ga
18480;10928;TbTlSe2
30868;10929;TbNi
19718;109290;SrSm2Nb2O9
10273;10930;TbInAg2
18481;10931;DyTlSe2
11298;10934;NbF3
18482;10935;HoTlSe2
28822;10937;GdFeC2
29590;10938;TlCrSe2
19739;109385;Na3AlH6
18483;10941;ErTlSe2
28824;10943;HoFeC2
12582;10944;CsBr2F
19754;109444;MnCoBi2O6
23958;10945;AgRhO2
10534;10947;ZrAlNi2
17975;10949;TlPd3
28827;10950;LuFeC2
29083;10951;CeGa
19771;109512;BaTbMn2O6
19773;109522;BaYMn2O6
18489;10954;La3In
6948;10955;InI
30366;10956;YGa
20542;10960;P
22592;10961;CsS
17469;10963;HoSnPd2
