material_id;band_gap
mp-1079639;0
mp-1079814;0
mp-1079868;0
mp-1080398;0
mp-1080767;0
mp-1092253;0
mp-1095525;0
mp-1096765;1.8836
mp-1101660;2.5979
mp-1101956;0
mp-1102075;4.7953
mp-1103088;0
mp-1103163;7.504
mp-1103949;3.7614
mp-1103992;2.4693
mp-1104901;2.4597
mp-1106237;0
mp-1114822;0.9351
mp-1114969;3.2579
mp-1115081;1.2754
mp-1115375;2.662
mp-1115395;0
mp-1115501;0
mp-1115637;1.9105
mp-1115706;0
mp-1115786;0
mp-1116021;0
mp-1116204;0
mp-1117593;6.434
mp-1117910;4.7351
mp-1117938;6.3665
mp-1119509;5.6205
mp-1119513;3.5186
mp-1119521;1.1189
mp-1120976;0
mp-1121169;4.8464
mp-1121422;0
mp-1121593;0.385
mp-1122042;2.3346
mp-1123624;0
mp-1124355;5.9639
mp-1124804;0
mp-1124947;0
mp-1125186;0.0156
mp-1125542;2.6117
mp-1125632;2.9123
mp-1126122;0
mp-1126411;0
mp-1126574;0
mp-1126860;6.3828
mp-1126963;6.4274
mp-1127129;2.3326
mp-1127229;2.5294
mp-1127261;0
mp-1127337;5.5577
mp-1127643;0
mp-1127825;0.2023
mp-1128069;3.2321
mp-1128435;1.0125
mp-1128688;0
mp-1129248;4.3407
mp-1129310;4.0277
mp-1129375;3.9423
mp-1129842;0
mp-1130071;3.9808
mp-1130155;0
mp-1130205;4.3919
mp-1130281;4.7715
mp-1130862;6.8592
mp-1131180;1.6524
mp-1131932;0
mp-1132271;6.6786
mp-1132304;6.7017
mp-1132592;1.9255
mp-1132749;0
mp-1133067;5.2254
mp-1133340;0
mp-1134314;0
mp-1135635;0
mp-1135693;0
mp-1135790;3.2896
mp-1136368;0
mp-1136389;0
mp-1136493;1.0095
mp-1136732;0
mp-1136738;1.1116
mp-1136903;0.9594
mp-1136937;2.6071
mp-1137740;0.8088
mp-1138657;0
mp-1139074;0
mp-1139951;0.2857
mp-1140039;1.4052
mp-1140062;0.3449
mp-1140309;2.553
mp-1140668;0.2156
mp-1140687;4.3487
mp-1140868;5.2144
mp-1140886;0.5365
mp-1140938;1.8079
mp-1141036;5.6092
mp-1141117;5.0657
mp-1141296;0.433
mp-1141491;7.3485
mp-1141517;0.9557
mp-1141782;1.9541
mp-1141817;1.1198
mp-1142035;0
mp-1142154;1.2609
mp-11422;0.0099
mp-1142254;2.1989
mp-1142301;0.436
mp-1142668;8.6684
mp-1142704;0
mp-1142729;4.4339
mp-1142971;0
mp-1143133;5.2497
mp-1143390;0
mp-1143925;1.4854
mp-1144032;0
mp-1144158;5.2016
mp-1144400;4.0172
mp-1144407;0
mp-1144908;1.6929
mp-1145149;3.1276
mp-1145680;5.9818
mp-1145925;6.781
mp-1146153;6.0141
mp-1146305;0
mp-1146992;0
mp-1148158;0
mp-11483;0.4763
mp-1148649;0
mp-1149395;0
mp-1149410;0
mp-1149426;0
mp-1149643;0
mp-11501;0.0131
mp-1150351;0.9519
mp-1150570;6.128
mp-1150574;8.0072
mp-1150821;0
mp-1150839;0
mp-1151080;0
mp-1152929;0
mp-1153847;1.2428
