material_id;spacegroup
mp-1059607;Fm-3m
mp-1059782;Fm-3m
mp-1059797;Fm-3m
mp-1059826;Fm-3m
mp-1059832;Fm-3m
mp-1059996;P-6m2
mp-1060025;Fm-3m
mp-1060031;P-6m2
mp-1060034;Fm-3m
mp-1060053;P-6m2
mp-1060061;Fm-3m
mp-1060062;Fm-3m
mp-1060065;Fm-3m
mp-1060078;Fm-3m
mp-1060080;P-6m2
mp-1060087;Pm-3m
mp-1060094;Fm-3m
mp-1060103;Pm-3m
mp-1060109;Fm-3m
mp-1060111;Fm-3m
mp-1060116;Fm-3m
mp-1060129;Pm-3m
mp-1060133;Pm-3m
mp-1060138;Fm-3m
mp-1060146;Fm-3m
mp-1060164;Fm-3m
mp-1060186;Fm-3m
mp-10602;Pm-3m
mp-1060215;Fm-3m
mp-1060218;Fm-3m
mp-1060313;Fm-3m
mp-1060326;Fm-3m
mp-1060329;Fm-3m
mp-1060342;Fm-3m
mp-1060361;Fm-3m
mp-1060368;Fm-3m
mp-1060377;Fm-3m
mp-1060381;Fm-3m
mp-1060390;Fm-3m
mp-1060405;Fm-3m
mp-1060442;Fm-3m
mp-1060444;Fm-3m
mp-1060727;P-6m2
mp-1060765;P-6m2
mp-1060796;P-6m2
mp-1060820;P-6m2
mp-1060975;Fm-3m
mp-1060987;Fm-3m
mp-1061033;Fm-3m
mp-1061037;Fm-3m
mp-1061043;Fm-3m
mp-1061051;F-43m
mp-1061066;Fm-3m
mp-1061074;F-43m
mp-1061104;Fm-3m
mp-1061105;F-43m
mp-1061112;Fm-3m
mp-1061121;F-43m
mp-1061194;Fm-3m
mp-1061215;Fm-3m
mp-1061242;Fm-3m
mp-1061253;Fm-3m
mp-1061260;Fm-3m
mp-1061261;Fm-3m
mp-1061292;Fm-3m
mp-1061296;Fm-3m
mp-1061377;Fm-3m
mp-1061393;Fm-3m
mp-1061431;Fm-3m
mp-1061433;Fm-3m
mp-1061861;Immm
mp-1061904;Immm
mp-1061932;R-3m
mp-1061937;Immm
mp-1061959;Immm
mp-1061962;Fm-3m
mp-1061963;R-3m
mp-1061965;Immm
